日志创建2021-06-21 余额4026753，失去银子：1000000,来源代号脱离门派，银子余额3026753
2021-06-21 余额73025403，失去银子：205942,来源代号技能学习，储备余额72819461
2021-06-21 余额72819461，失去银子：215912,来源代号技能学习，储备余额72603549
2021-06-21 余额3026753，失去银子：1000000,来源代号角色洗点，银子余额2026753
2021-06-21 花费100万银子重置角色属性点
2021-06-21 余额2026753，获得银子：40000,来源代号泡泡，银子余额2066753
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2066753，获得银子：40000,来源代号泡泡，银子余额2106753
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2106753，获得银子：40000,来源代号泡泡，银子余额2146753
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2146753，获得银子：40000,来源代号泡泡，银子余额2186753
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2186753，获得银子：40000,来源代号泡泡，银子余额2226753
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2226753，获得银子：40000,来源代号泡泡，银子余额2266753
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2266753，获得银子：40000,来源代号泡泡，银子余额2306753
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额2306753，获得银子：40000,来源代号泡泡，银子余额2346753
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 获得经验：7256904,来源代号知了大王
2021-06-21 余额72603549，获得储备：76176,来源代号知了大王，储备余额72679725
2021-06-21 获得经验：6914112,来源代号知了先锋
2021-06-21 余额72679725，获得储备：57132,来源代号知了先锋，储备余额72736857
2021-06-21 获得经验：6914112,来源代号知了先锋
2021-06-21 余额72736857，获得储备：57132,来源代号知了先锋，储备余额72793989
2021-06-22 获得经验：6914112,来源代号知了先锋
2021-06-22 余额72793989，获得储备：57132,来源代号知了先锋，储备余额72851121
