日志创建
2021-06-21 装备礼包:2
2021-06-21 装备礼包:3
2021-06-21 装备礼包:4
2021-06-21 装备礼包:5
2021-06-21 装备礼包:6
2021-06-21 装备礼包:7
2021-06-21 余额5000000，获得储备：50000,来源代号新手礼包，储备余额5050000
2021-06-21 余额4459980，失去银子：40598,来源代号技能学习，储备余额4419382
2021-06-21 余额4419382，失去银子：43590,来源代号技能学习，储备余额4375792
2021-06-21 余额4375792，失去银子：7640,来源代号技能学习，储备余额4368152
2021-06-21 余额4368152，失去银子：8510,来源代号技能学习，储备余额4359642
2021-06-21 余额4359642，失去银子：9450,来源代号技能学习，储备余额4350192
2021-06-21 余额4350192，失去银子：10468,来源代号技能学习，储备余额4339724
2021-06-21 余额4339724，失去银子：11566,来源代号技能学习，储备余额4328158
2021-06-21 余额4328158，失去银子：12748,来源代号技能学习，储备余额4315410
2021-06-21 余额4315410，失去银子：14018,来源代号技能学习，储备余额4301392
2021-06-21 余额4301392，失去银子：15360,来源代号技能学习，储备余额4286032
2021-06-21 余额4286032，失去银子：16838,来源代号技能学习，储备余额4269194
2021-06-21 余额4269194，失去银子：18398,来源代号技能学习，储备余额4250796
2021-06-21 余额4250796，失去银子：20064,来源代号技能学习，储备余额4230732
2021-06-21 余额4230732，失去银子：21840,来源代号技能学习，储备余额4208892
2021-06-21 余额4208892，失去银子：23730,来源代号技能学习，储备余额4185162
2021-06-21 余额4185162，失去银子：25742,来源代号技能学习，储备余额4159420
2021-06-21 余额4159420，失去银子：27876,来源代号技能学习，储备余额4131544
2021-06-21 余额4131544，失去银子：30140,来源代号技能学习，储备余额4101404
2021-06-21 余额4101404，失去银子：32540,来源代号技能学习，储备余额4068864
2021-06-21 余额4068864，失去银子：35080,来源代号技能学习，储备余额4033784
2021-06-21 余额4033784，失去银子：37764,来源代号技能学习，储备余额3996020
2021-06-21 余额3996020，失去银子：40598,来源代号技能学习，储备余额3955422
2021-06-21 余额3955422，失去银子：43590,来源代号技能学习，储备余额3911832
2021-06-21 余额3911832，失去银子：7640,来源代号技能学习，储备余额3904192
2021-06-21 余额3904192，失去银子：8510,来源代号技能学习，储备余额3895682
2021-06-21 余额3895682，失去银子：9450,来源代号技能学习，储备余额3886232
2021-06-21 余额3886232，失去银子：10468,来源代号技能学习，储备余额3875764
2021-06-21 余额3875764，失去银子：11566,来源代号技能学习，储备余额3864198
2021-06-21 余额3864198，失去银子：12748,来源代号技能学习，储备余额3851450
2021-06-21 余额3851450，失去银子：14018,来源代号技能学习，储备余额3837432
2021-06-21 余额3837432，失去银子：15360,来源代号技能学习，储备余额3822072
2021-06-21 余额3822072，失去银子：16838,来源代号技能学习，储备余额3805234
2021-06-21 余额3805234，失去银子：18398,来源代号技能学习，储备余额3786836
2021-06-21 余额3786836，失去银子：20064,来源代号技能学习，储备余额3766772
2021-06-21 余额3766772，失去银子：21840,来源代号技能学习，储备余额3744932
2021-06-21 余额3744932，失去银子：23730,来源代号技能学习，储备余额3721202
2021-06-21 余额3721202，失去银子：25742,来源代号技能学习，储备余额3695460
2021-06-21 余额3695460，失去银子：27876,来源代号技能学习，储备余额3667584
2021-06-21 余额3667584，失去银子：30140,来源代号技能学习，储备余额3637444
2021-06-21 余额3637444，失去银子：32540,来源代号技能学习，储备余额3604904
2021-06-21 余额3604904，失去银子：35080,来源代号技能学习，储备余额3569824
2021-06-21 余额3569824，失去银子：37764,来源代号技能学习，储备余额3532060
2021-06-21 余额3532060，失去银子：40598,来源代号技能学习，储备余额3491462
2021-06-21 余额3491462，失去银子：43590,来源代号技能学习，储备余额3447872
2021-06-21 余额3447872，失去银子：7640,来源代号技能学习，储备余额3440232
2021-06-21 余额3440232，失去银子：8510,来源代号技能学习，储备余额3431722
2021-06-21 余额3431722，失去银子：9450,来源代号技能学习，储备余额3422272
2021-06-21 余额3422272，失去银子：10468,来源代号技能学习，储备余额3411804
2021-06-21 余额3411804，失去银子：11566,来源代号技能学习，储备余额3400238
2021-06-21 余额3400238，失去银子：12748,来源代号技能学习，储备余额3387490
2021-06-21 余额3387490，失去银子：14018,来源代号技能学习，储备余额3373472
2021-06-21 余额3373472，失去银子：15360,来源代号技能学习，储备余额3358112
2021-06-21 余额3358112，失去银子：16838,来源代号技能学习，储备余额3341274
2021-06-21 余额3341274，失去银子：18398,来源代号技能学习，储备余额3322876
2021-06-21 余额3322876，失去银子：20064,来源代号技能学习，储备余额3302812
2021-06-21 余额3302812，失去银子：21840,来源代号技能学习，储备余额3280972
2021-06-21 余额3280972，失去银子：23730,来源代号技能学习，储备余额3257242
2021-06-21 余额3257242，失去银子：25742,来源代号技能学习，储备余额3231500
2021-06-21 余额3231500，失去银子：27876,来源代号技能学习，储备余额3203624
2021-06-21 余额3203624，失去银子：30140,来源代号技能学习，储备余额3173484
2021-06-21 余额3173484，失去银子：32540,来源代号技能学习，储备余额3140944
2021-06-21 余额3140944，失去银子：35080,来源代号技能学习，储备余额3105864
2021-06-21 余额3105864，失去银子：37764,来源代号技能学习，储备余额3068100
2021-06-21 余额3068100，失去银子：40598,来源代号技能学习，储备余额3027502
2021-06-21 余额3027502，失去银子：43590,来源代号技能学习，储备余额2983912
2021-06-21 获得经验：6000000,来源代号新手礼包
2021-06-21 余额2983912，获得储备：1000000,来源代号新手礼包，储备余额3983912
2021-06-21 获得经验：9000000,来源代号新手礼包
2021-06-21 余额3983912，获得储备：1500000,来源代号新手礼包，储备余额5483912
2021-06-21 获得经验：12000000,来源代号新手礼包
2021-06-21 余额5483912，获得储备：2000000,来源代号新手礼包，储备余额7483912
2021-06-21 余额7483912，失去银子：46742,来源代号技能学习，储备余额7437170
2021-06-21 余额7437170，失去银子：50062,来源代号技能学习，储备余额7387108
2021-06-21 余额7387108，失去银子：53554,来源代号技能学习，储备余额7333554
2021-06-21 余额7333554，失去银子：57226,来源代号技能学习，储备余额7276328
2021-06-21 余额7276328，失去银子：61082,来源代号技能学习，储备余额7215246
2021-06-21 余额7215246，失去银子：65130,来源代号技能学习，储备余额7150116
2021-06-21 余额7150116，失去银子：69374,来源代号技能学习，储备余额7080742
2021-06-21 余额7080742，失去银子：73822,来源代号技能学习，储备余额7006920
2021-06-21 余额7006920，失去银子：78480,来源代号技能学习，储备余额6928440
2021-06-21 余额6928440，失去银子：83352,来源代号技能学习，储备余额6845088
2021-06-21 余额6845088，失去银子：88448,来源代号技能学习，储备余额6756640
2021-06-21 余额6756640，失去银子：93772,来源代号技能学习，储备余额6662868
2021-06-21 余额6662868，失去银子：99332,来源代号技能学习，储备余额6563536
2021-06-21 余额6563536，失去银子：105136,来源代号技能学习，储备余额6458400
2021-06-21 余额6458400，失去银子：111190,来源代号技能学习，储备余额6347210
2021-06-21 余额6347210，失去银子：117498,来源代号技能学习，储备余额6229712
2021-06-21 余额6229712，失去银子：124072,来源代号技能学习，储备余额6105640
2021-06-21 余额6105640，失去银子：130916,来源代号技能学习，储备余额5974724
2021-06-21 余额5974724，失去银子：138038,来源代号技能学习，储备余额5836686
2021-06-21 余额5836686，失去银子：145446,来源代号技能学习，储备余额5691240
2021-06-21 余额5691240，失去银子：153148,来源代号技能学习，储备余额5538092
2021-06-21 余额5538092，失去银子：46742,来源代号技能学习，储备余额5491350
2021-06-21 余额5491350，失去银子：50062,来源代号技能学习，储备余额5441288
2021-06-21 余额5441288，失去银子：53554,来源代号技能学习，储备余额5387734
2021-06-21 余额5387734，失去银子：57226,来源代号技能学习，储备余额5330508
2021-06-21 余额5330508，失去银子：61082,来源代号技能学习，储备余额5269426
2021-06-21 余额5269426，失去银子：65130,来源代号技能学习，储备余额5204296
2021-06-21 余额5204296，失去银子：69374,来源代号技能学习，储备余额5134922
2021-06-21 余额5134922，失去银子：73822,来源代号技能学习，储备余额5061100
2021-06-21 余额5061100，失去银子：78480,来源代号技能学习，储备余额4982620
2021-06-21 余额4982620，失去银子：83352,来源代号技能学习，储备余额4899268
2021-06-21 余额4899268，失去银子：88448,来源代号技能学习，储备余额4810820
2021-06-21 余额4810820，失去银子：93772,来源代号技能学习，储备余额4717048
2021-06-21 余额4717048，失去银子：99332,来源代号技能学习，储备余额4617716
2021-06-21 余额4617716，失去银子：105136,来源代号技能学习，储备余额4512580
2021-06-21 余额4512580，失去银子：111190,来源代号技能学习，储备余额4401390
2021-06-21 余额4401390，失去银子：117498,来源代号技能学习，储备余额4283892
2021-06-21 余额4283892，失去银子：124072,来源代号技能学习，储备余额4159820
2021-06-21 余额4159820，失去银子：130916,来源代号技能学习，储备余额4028904
2021-06-21 余额4028904，失去银子：138038,来源代号技能学习，储备余额3890866
2021-06-21 余额3890866，失去银子：145446,来源代号技能学习，储备余额3745420
2021-06-21 余额3745420，失去银子：153148,来源代号技能学习，储备余额3592272
2021-06-21 余额3592272，失去银子：46742,来源代号技能学习，储备余额3545530
2021-06-21 余额3545530，失去银子：50062,来源代号技能学习，储备余额3495468
2021-06-21 余额3495468，失去银子：53554,来源代号技能学习，储备余额3441914
2021-06-21 余额3441914，失去银子：57226,来源代号技能学习，储备余额3384688
2021-06-21 余额3384688，失去银子：61082,来源代号技能学习，储备余额3323606
2021-06-21 余额3323606，失去银子：65130,来源代号技能学习，储备余额3258476
2021-06-21 余额3258476，失去银子：69374,来源代号技能学习，储备余额3189102
2021-06-21 余额3189102，失去银子：73822,来源代号技能学习，储备余额3115280
2021-06-21 余额3115280，失去银子：78480,来源代号技能学习，储备余额3036800
2021-06-21 余额3036800，失去银子：83352,来源代号技能学习，储备余额2953448
2021-06-21 余额2953448，失去银子：88448,来源代号技能学习，储备余额2865000
2021-06-21 余额2865000，失去银子：93772,来源代号技能学习，储备余额2771228
2021-06-21 余额2771228，失去银子：99332,来源代号技能学习，储备余额2671896
2021-06-21 余额2671896，失去银子：105136,来源代号技能学习，储备余额2566760
2021-06-21 余额2566760，失去银子：111190,来源代号技能学习，储备余额2455570
2021-06-21 余额2455570，失去银子：117498,来源代号技能学习，储备余额2338072
2021-06-21 余额2338072，失去银子：46742,来源代号技能学习，储备余额2291330
2021-06-21 获得经验：15000000,来源代号新手礼包
2021-06-21 余额2291330，获得储备：2500000,来源代号新手礼包，储备余额4791330
2021-06-21 余额4791330，失去银子：50062,来源代号技能学习，储备余额4741268
2021-06-21 余额4741268，失去银子：53554,来源代号技能学习，储备余额4687714
2021-06-21 余额4687714，失去银子：57226,来源代号技能学习，储备余额4630488
2021-06-21 余额4630488，失去银子：61082,来源代号技能学习，储备余额4569406
2021-06-21 余额4569406，失去银子：65130,来源代号技能学习，储备余额4504276
2021-06-21 余额4504276，失去银子：69374,来源代号技能学习，储备余额4434902
2021-06-21 余额4434902，失去银子：73822,来源代号技能学习，储备余额4361080
2021-06-21 余额4361080，失去银子：78480,来源代号技能学习，储备余额4282600
2021-06-21 余额4282600，失去银子：83352,来源代号技能学习，储备余额4199248
2021-06-21 余额4199248，失去银子：88448,来源代号技能学习，储备余额4110800
2021-06-21 余额4110800，失去银子：161150,来源代号技能学习，储备余额3949650
2021-06-21 余额3949650，失去银子：169460,来源代号技能学习，储备余额3780190
2021-06-21 余额3780190，失去银子：178086,来源代号技能学习，储备余额3602104
2021-06-21 余额3602104，失去银子：187032,来源代号技能学习，储备余额3415072
2021-06-21 余额3415072，失去银子：196320,来源代号技能学习，储备余额3218752
2021-06-21 余额3218752，失去银子：205942,来源代号技能学习，储备余额3012810
2021-06-21 余额3012810，失去银子：215912,来源代号技能学习，储备余额2796898
2021-06-21 余额2796898，失去银子：93772,来源代号技能学习，储备余额2703126
