日志创建
2021-06-21 余额3441462，失去银子：43590,来源代号技能学习，储备余额3397872
2021-06-21 余额3397872，失去银子：7640,来源代号技能学习，储备余额3390232
2021-06-21 余额3390232，失去银子：8510,来源代号技能学习，储备余额3381722
2021-06-21 余额3381722，失去银子：9450,来源代号技能学习，储备余额3372272
2021-06-21 余额3372272，失去银子：10468,来源代号技能学习，储备余额3361804
2021-06-21 余额3361804，失去银子：11566,来源代号技能学习，储备余额3350238
2021-06-21 余额3350238，失去银子：12748,来源代号技能学习，储备余额3337490
2021-06-21 余额3337490，失去银子：14018,来源代号技能学习，储备余额3323472
2021-06-21 余额3323472，失去银子：15360,来源代号技能学习，储备余额3308112
2021-06-21 余额3308112，失去银子：16838,来源代号技能学习，储备余额3291274
2021-06-21 余额3291274，失去银子：18398,来源代号技能学习，储备余额3272876
2021-06-21 余额3272876，失去银子：20064,来源代号技能学习，储备余额3252812
2021-06-21 余额3252812，失去银子：21840,来源代号技能学习，储备余额3230972
2021-06-21 余额3230972，失去银子：23730,来源代号技能学习，储备余额3207242
2021-06-21 余额3207242，失去银子：25742,来源代号技能学习，储备余额3181500
2021-06-21 余额3181500，失去银子：27876,来源代号技能学习，储备余额3153624
2021-06-21 余额3153624，失去银子：30140,来源代号技能学习，储备余额3123484
2021-06-21 余额3123484，失去银子：32540,来源代号技能学习，储备余额3090944
2021-06-21 余额3090944，失去银子：35080,来源代号技能学习，储备余额3055864
2021-06-21 余额3055864，失去银子：37764,来源代号技能学习，储备余额3018100
2021-06-21 余额3018100，失去银子：40598,来源代号技能学习，储备余额2977502
2021-06-21 余额2977502，失去银子：43590,来源代号技能学习，储备余额2933912
2021-06-21 装备礼包:2
2021-06-21 装备礼包:3
2021-06-21 装备礼包:4
2021-06-21 装备礼包:5
2021-06-21 装备礼包:6
2021-06-21 装备礼包:7
2021-06-21 余额2933912，获得储备：50000,来源代号新手礼包，储备余额2983912
2021-06-21 获得经验：6000000,来源代号新手礼包
2021-06-21 余额2983912，获得储备：1000000,来源代号新手礼包，储备余额3983912
2021-06-21 获得经验：9000000,来源代号新手礼包
2021-06-21 余额3983912，获得储备：1500000,来源代号新手礼包，储备余额5483912
2021-06-21 获得经验：12000000,来源代号新手礼包
2021-06-21 余额5483912，获得储备：2000000,来源代号新手礼包，储备余额7483912
2021-06-21 余额7483912，失去银子：46742,来源代号技能学习，储备余额7437170
2021-06-21 余额7437170，失去银子：50062,来源代号技能学习，储备余额7387108
2021-06-21 余额7387108，失去银子：53554,来源代号技能学习，储备余额7333554
2021-06-21 余额7333554，失去银子：57226,来源代号技能学习，储备余额7276328
2021-06-21 余额7276328，失去银子：61082,来源代号技能学习，储备余额7215246
2021-06-21 余额7215246，失去银子：65130,来源代号技能学习，储备余额7150116
2021-06-21 余额7150116，失去银子：69374,来源代号技能学习，储备余额7080742
2021-06-21 余额7080742，失去银子：73822,来源代号技能学习，储备余额7006920
2021-06-21 余额7006920，失去银子：78480,来源代号技能学习，储备余额6928440
2021-06-21 余额6928440，失去银子：83352,来源代号技能学习，储备余额6845088
2021-06-21 余额6845088，失去银子：88448,来源代号技能学习，储备余额6756640
2021-06-21 余额6756640，失去银子：93772,来源代号技能学习，储备余额6662868
2021-06-21 余额6662868，失去银子：99332,来源代号技能学习，储备余额6563536
2021-06-21 余额6563536，失去银子：105136,来源代号技能学习，储备余额6458400
2021-06-21 余额6458400，失去银子：111190,来源代号技能学习，储备余额6347210
2021-06-21 余额6347210，失去银子：117498,来源代号技能学习，储备余额6229712
2021-06-21 余额6229712，失去银子：124072,来源代号技能学习，储备余额6105640
2021-06-21 余额6105640，失去银子：130916,来源代号技能学习，储备余额5974724
2021-06-21 余额5974724，失去银子：138038,来源代号技能学习，储备余额5836686
2021-06-21 余额5836686，失去银子：145446,来源代号技能学习，储备余额5691240
2021-06-21 余额5691240，失去银子：153148,来源代号技能学习，储备余额5538092
2021-06-21 余额5538092，失去银子：46742,来源代号技能学习，储备余额5491350
2021-06-21 余额5491350，失去银子：50062,来源代号技能学习，储备余额5441288
2021-06-21 余额5441288，失去银子：53554,来源代号技能学习，储备余额5387734
2021-06-21 余额5387734，失去银子：57226,来源代号技能学习，储备余额5330508
2021-06-21 余额5330508，失去银子：61082,来源代号技能学习，储备余额5269426
2021-06-21 余额5269426，失去银子：65130,来源代号技能学习，储备余额5204296
2021-06-21 余额5204296，失去银子：69374,来源代号技能学习，储备余额5134922
2021-06-21 余额5134922，失去银子：73822,来源代号技能学习，储备余额5061100
2021-06-21 余额5061100，失去银子：78480,来源代号技能学习，储备余额4982620
2021-06-21 余额4982620，失去银子：83352,来源代号技能学习，储备余额4899268
2021-06-21 余额4899268，失去银子：88448,来源代号技能学习，储备余额4810820
2021-06-21 余额4810820，失去银子：93772,来源代号技能学习，储备余额4717048
2021-06-21 余额4717048，失去银子：99332,来源代号技能学习，储备余额4617716
2021-06-21 余额4617716，失去银子：105136,来源代号技能学习，储备余额4512580
2021-06-21 余额4512580，失去银子：111190,来源代号技能学习，储备余额4401390
2021-06-21 余额4401390，失去银子：117498,来源代号技能学习，储备余额4283892
2021-06-21 余额4283892，失去银子：124072,来源代号技能学习，储备余额4159820
2021-06-21 余额4159820，失去银子：130916,来源代号技能学习，储备余额4028904
