日志创建2021-06-21 余额100000，获得银子：600000000,来源代号给予，银子余额600100000
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额1269324，获得银子：35000,来源代号仙气十足，银子余额1304324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额1304324，获得银子：35000,来源代号仙气十足，银子余额1339324
2021-06-21 获得经验：1142640,来源代号仙气十足
2021-06-21 余额1339324，获得银子：72535,来源代号出售缚神绫，银子余额1411859
2021-06-21 余额1411859，获得银子：40000,来源代号泡泡，银子余额1451859
2021-06-21 获得经验：1142640,来源代号泡泡
2021-06-21 余额1451859，获得银子：40000,来源代号泡泡，银子余额1491859
2021-06-21 获得经验：1142640,来源代号泡泡
2021-06-21 获得经验：1142640,来源代号妖魔
2021-06-21 余额3221122，获得储备：500000,来源代号妖魔，储备余额3721122
2021-06-21 余额1491859，获得银子：40000,来源代号泡泡，银子余额1531859
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额1531859，获得银子：40000,来源代号泡泡，银子余额1571859
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额1571859，获得银子：40000,来源代号泡泡，银子余额1611859
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额1611859，获得银子：40000,来源代号泡泡，银子余额1651859
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额3721122，获得储备：54000000,来源代号维护奖励，储备余额57721122
2021-06-21 获得经验：904590,来源代号维护奖励
2021-06-21 [给予]获得(zhouhong1)道具：烈焰澜翻
2021-06-21 [给予]给予(zhouhong1)道具：天眼通符
2021-06-21 余额1651859，获得银子：40000,来源代号泡泡，银子余额1691859
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额1691859，获得银子：40000,来源代号泡泡，银子余额1731859
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额1731859，获得银子：40000,来源代号泡泡，银子余额1771859
2021-06-21 获得经验：571320,来源代号泡泡
2021-06-21 余额1771859，获得银子：200000,来源代号星宿，银子余额1971859
2021-06-21 获得经验：200000,来源代号星宿
2021-06-21 余额1971859，获得银子：2000000,来源代号给予，银子余额3971859
2021-06-21 [给予]获得(zhouhong1)银子：2000000
2021-06-21 余额3971859，失去银子：1000000,来源代号脱离门派，银子余额2971859
2021-06-21 余额57721122，失去银子：24,来源代号技能学习，储备余额57721098
2021-06-21 余额57721098，失去银子：38,来源代号技能学习，储备余额57721060
2021-06-21 余额57721060，失去银子：56,来源代号技能学习，储备余额57721004
2021-06-21 余额57721004，失去银子：76,来源代号技能学习，储备余额57720928
2021-06-21 余额57720928，失去银子：102,来源代号技能学习，储备余额57720826
2021-06-21 余额57720826，失去银子：134,来源代号技能学习，储备余额57720692
2021-06-21 余额57720692，失去银子：172,来源代号技能学习，储备余额57720520
2021-06-21 余额57720520，失去银子：220,来源代号技能学习，储备余额57720300
2021-06-21 余额57720300，失去银子：278,来源代号技能学习，储备余额57720022
2021-06-21 余额57720022，失去银子：348,来源代号技能学习，储备余额57719674
2021-06-21 余额57719674，失去银子：432,来源代号技能学习，储备余额57719242
2021-06-21 余额57719242，失去银子：532,来源代号技能学习，储备余额57718710
2021-06-21 余额57718710，失去银子：650,来源代号技能学习，储备余额57718060
2021-06-21 余额57718060，失去银子：786,来源代号技能学习，储备余额57717274
2021-06-21 余额57717274，失去银子：944,来源代号技能学习，储备余额57716330
2021-06-21 余额57716330，失去银子：1126,来源代号技能学习，储备余额57715204
2021-06-21 余额57715204，失去银子：1334,来源代号技能学习，储备余额57713870
2021-06-21 余额57713870，失去银子：1572,来源代号技能学习，储备余额57712298
2021-06-21 余额57712298，失去银子：1838,来源代号技能学习，储备余额57710460
2021-06-21 余额57710460，失去银子：2140,来源代号技能学习，储备余额57708320
2021-06-21 余额57708320，失去银子：2476,来源代号技能学习，储备余额57705844
2021-06-21 余额57705844，失去银子：2852,来源代号技能学习，储备余额57702992
2021-06-21 余额57702992，失去银子：3272,来源代号技能学习，储备余额57699720
