日志创建
2021-06-21 装备礼包:2
2021-06-21 装备礼包:3
2021-06-21 装备礼包:4
2021-06-21 装备礼包:5
2021-06-21 装备礼包:6
2021-06-21 装备礼包:7
2021-06-21 余额4411804，失去银子：11566,来源代号技能学习，储备余额4400238
2021-06-21 余额4400238，失去银子：12748,来源代号技能学习，储备余额4387490
2021-06-21 余额4387490，失去银子：14018,来源代号技能学习，储备余额4373472
2021-06-21 余额4373472，失去银子：15360,来源代号技能学习，储备余额4358112
2021-06-21 余额4358112，失去银子：16838,来源代号技能学习，储备余额4341274
2021-06-21 余额4341274，失去银子：18398,来源代号技能学习，储备余额4322876
2021-06-21 余额4322876，失去银子：20064,来源代号技能学习，储备余额4302812
2021-06-21 余额4302812，失去银子：21840,来源代号技能学习，储备余额4280972
2021-06-21 余额4280972，失去银子：23730,来源代号技能学习，储备余额4257242
2021-06-21 余额4257242，失去银子：25742,来源代号技能学习，储备余额4231500
2021-06-21 余额4231500，失去银子：27876,来源代号技能学习，储备余额4203624
2021-06-21 余额4203624，失去银子：30140,来源代号技能学习，储备余额4173484
2021-06-21 余额4173484，失去银子：32540,来源代号技能学习，储备余额4140944
2021-06-21 余额4140944，失去银子：35080,来源代号技能学习，储备余额4105864
2021-06-21 余额4105864，失去银子：37764,来源代号技能学习，储备余额4068100
2021-06-21 余额4068100，失去银子：40598,来源代号技能学习，储备余额4027502
2021-06-21 余额4027502，失去银子：43590,来源代号技能学习，储备余额3983912
2021-06-21 余额3983912，失去银子：46742,来源代号技能学习，储备余额3937170
2021-06-21 余额3937170，失去银子：50062,来源代号技能学习，储备余额3887108
2021-06-21 余额3887108，失去银子：53554,来源代号技能学习，储备余额3833554
2021-06-21 余额3833554，失去银子：57226,来源代号技能学习，储备余额3776328
2021-06-21 余额3776328，失去银子：61082,来源代号技能学习，储备余额3715246
2021-06-21 余额3715246，失去银子：65130,来源代号技能学习，储备余额3650116
2021-06-21 余额3650116，失去银子：69374,来源代号技能学习，储备余额3580742
2021-06-21 余额3580742，失去银子：73822,来源代号技能学习，储备余额3506920
2021-06-21 获得经验：9000000,来源代号新手礼包
2021-06-21 余额3506920，获得储备：1500000,来源代号新手礼包，储备余额5006920
